data point,x,y,voltage,current,move number,flag
160,10348.199999999999,10358.800000000001,4.99969,-2.2548e-08,21,0
161,10348.199999999999,10358.800000000001,5.00005,5.94e-09,21,0
162,10333.599999999999,10372.400000000001,4.99973,1.4023e-08,22,0
163,10333.599999999999,10372.400000000001,4.99969,-1.18e-08,22,0
164,10333.599999999999,10372.400000000001,5.00006,-1.9812e-08,22,0
165,10333.599999999999,10372.400000000001,5.00017,1.8734e-08,22,0
166,10333.599999999999,10372.400000000001,4.99977,1.2664e-08,22,0
167,10333.599999999999,10372.400000000001,4.99951,-1.1536e-08,22,0
168,10318.399999999998,10372.400000000001,5.00016,-1.6982e-08,22,0
169,10318.399999999998,10385.600000000002,5.00015,1.9754e-08,23,0
170,10318.399999999998,10385.600000000002,4.99977,1.0211e-08,23,0
171,10318.399999999998,10385.600000000002,4.99974,-1.6535e-08,23,0
172,10318.399999999998,10385.600000000002,5.0002,-1.2183e-08,23,0
173,10318.399999999998,10385.600000000002,5.0001,2.0664e-08,23,0
174,10318.399999999998,10385.600000000002,4.99948,9.836e-09,23,0
175,10302.799999999997,10398.000000000002,4.99974,-1.8335e-08,24,0
176,10302.799999999997,10398.000000000002,5.00085,7.3722e-08,24,0
177,10302.799999999997,10398.000000000002,5.0,2.0016e-08,24,0
178,10302.799999999997,10398.000000000002,4.99965,3.763e-09,24,0
179,10302.799999999997,10398.000000000002,4.9998,-1.7254e-08,24,0
180,10302.799999999997,10398.000000000002,5.00009,-1.986e-09,24,0
181,10302.799999999997,10398.000000000002,4.99977,2.2925e-08,24,0
182,10286.599999999997,10409.800000000001,4.99967,-1.339e-09,25,0
183,10286.599999999997,10409.800000000001,4.99975,-1.8113e-08,25,0
184,10286.599999999997,10409.800000000001,5.00017,8.349e-09,25,0
185,10286.599999999997,10409.800000000001,4.99961,1.8768e-08,25,0
186,10286.599999999997,10409.800000000001,4.9996,-2.176e-09,25,0
187,10286.599999999997,10409.800000000001,4.99972,-2.2305e-08,25,0
188,10269.999999999996,10409.800000000001,5.00007,5.658e-09,25,0
189,10269.999999999996,10420.800000000001,4.99959,1.5526e-08,26,0
190,10269.999999999996,10420.800000000001,4.99963,-1.0946e-08,26,0
191,10269.999999999996,10420.800000000001,5.00003,-1.7981e-08,26,0
192,10269.999999999996,10420.800000000001,5.00015,9.19e-09,26,0
193,10269.999999999996,10420.800000000001,4.99983,1.1249e-08,26,0
194,10269.999999999996,10420.800000000001,4.99959,-1.3778e-08,26,0
195,10252.799999999996,10431.400000000001,5.00009,-1.8206e-08,27,0
196,10252.799999999996,10431.400000000001,5.00013,1.7931e-08,27,0
197,10252.799999999996,10431.400000000001,4.99979,1.1641e-08,27,0
198,10252.799999999996,10431.400000000001,4.99972,-1.3295e-08,27,0
199,10252.799999999996,10431.400000000001,5.00021,-1.1918e-08,27,0
200,10252.799999999996,10431.400000000001,5.00006,1.9547e-08,27,0
201,10252.799999999996,10431.400000000001,4.99975,9.8e-09,27,0
202,10235.399999999996,10441.2,4.99984,-1.5206e-08,28,0
203,10235.399999999996,10441.2,5.00011,-1.065e-08,28,0
204,10235.399999999996,10441.2,5.0,2.6244e-08,28,0
205,10235.399999999996,10441.2,4.99958,3.69e-09,28,0
206,10235.399999999996,10441.2,4.99974,-1.7205e-08,28,0
207,10235.399999999996,10441.2,5.00026,-2.825e-09,28,0
208,10235.399999999996,10441.2,4.99977,2.3344e-08,28,0
209,10217.599999999997,10450.2,4.99962,-1.027e-09,29,0
210,10217.599999999997,10450.2,4.99972,-2.0357e-08,29,0
211,10217.599999999997,10450.2,5.00025,4.221e-09,29,0
212,10217.599999999997,10450.2,4.99958,1.8247e-08,29,0
213,10217.599999999997,10450.2,4.99965,-2.063e-09,29,0
214,10217.599999999997,10450.2,4.99975,-2.0329e-08,29,0
215,10217.599999999997,10450.2,5.00004,7.634e-09,29,0
216,10199.399999999996,10450.2,4.99967,1.1797e-08,29,0
217,10199.399999999996,10458.6,4.99968,-8.474e-09,30,0
218,10199.399999999996,10458.6,4.99997,-2.1905e-08,30,0
219,10199.399999999996,10458.6,5.00019,9.691e-09,30,0
220,10199.399999999996,10458.6,4.99975,1.1541e-08,30,0
221,10199.399999999996,10458.6,4.99953,-1.0845e-08,30,0
222,10199.399999999996,10458.6,5.00008,-1.815e-08,30,0
223,10180.799999999996,10466.2,5.00015,1.9033e-08,31,0
224,10180.799999999996,10466.2,4.99978,1.2559e-08,31,0
225,10180.799999999996,10466.2,4.99951,-1.407e-08,31,0
226,10180.799999999996,10466.2,5.00009,-1.9056e-08,31,0
227,10180.799999999996,10466.2,5.00006,1.7788e-08,31,0
228,10180.799999999996,10466.2,4.9997,8.098e-09,31,0
229,10180.799999999996,10466.2,4.99976,-1.6297e-08,31,0
230,10180.799999999996,10466.2,5.00028,-5.463e-09,31,0
231,10180.799999999996,10466.2,4.99995,2.3223e-08,31,0
232,10180.799999999996,10466.2,4.99963,9.022e-09,31,0
233,10162.199999999995,10473.0,4.99978,-1.7574e-08,32,0
234,10162.199999999995,10473.0,5.00018,-5.467e-09,32,0
235,10162.199999999995,10473.0,4.99995,2.3125e-08,32,0
236,10162.199999999995,10473.0,4.99975,1.731e-09,32,0
237,10162.199999999995,10473.0,4.99972,-1.5585e-08,32,0
238,10162.199999999995,10473.0,5.0001,-1.74e-09,32,0
239,10162.199999999995,10473.0,4.99971,2.0542e-08,32,0
240,10162.199999999995,10473.0,4.99965,-4.106e-09,32,0
241,10162.199999999995,10473.0,4.99988,-1.8899e-08,32,0
242,10142.999999999995,10479.2,5.00016,9.24e-09,33,0
243,10142.999999999995,10479.2,4.99964,1.6321e-08,33,0
244,10142.999999999995,10479.2,4.99955,-7.382e-09,33,0
245,10142.999999999995,10479.2,4.99994,-2.1312e-08,33,0
246,10142.999999999995,10479.2,5.0,7.379e-09,33,0
247,10142.999999999995,10479.2,4.99974,1.4218e-08,33,0
248,10142.999999999995,10479.2,4.99978,-8.586e-09,33,0
249,10142.999999999995,10479.2,5.00008,-1.9509e-08,33,0
250,10142.999999999995,10479.2,5.00025,1.176e-08,33,0
251,10123.799999999994,10484.400000000001,4.99974,1.048e-08,34,0
252,10123.799999999994,10484.400000000001,4.99965,-1.2349e-08,34,0
253,10123.799999999994,10484.400000000001,5.00013,-1.4672e-08,34,0
254,10123.799999999994,10484.400000000001,5.00009,1.8251e-08,34,0
255,10123.799999999994,10484.400000000001,4.99978,1.1281e-08,34,0
256,10123.799999999994,10484.400000000001,4.99972,-1.4625e-08,34,0
257,10123.799999999994,10484.400000000001,5.00033,-9.357e-09,34,0
258,10123.799999999994,10484.400000000001,5.00007,2.2757e-08,34,0
259,10104.199999999993,10489.000000000002,4.99964,8.252e-09,35,0
260,10104.199999999993,10489.000000000002,4.99991,-1.5703e-08,35,0
261,10104.199999999993,10489.000000000002,5.00003,-6.739e-09,35,0
262,10104.199999999993,10489.000000000002,4.99999,2.375e-08,35,0
263,10104.199999999993,10489.000000000002,4.99953,6.794e-09,35,0
264,10104.199999999993,10489.000000000002,4.9998,-1.8903e-08,35,0
265,10104.199999999993,10489.000000000002,5.00014,-3.721e-09,35,0
