Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
118 steps/s (23.6 µm/s) | Expected: 0.992 s | Actual: 0.992 s | Effective: 117.96 steps/s | Overridden: NO
119 steps/s (23.8 µm/s) | Expected: 0.985 s | Actual: 0.976 s | Effective: 120.23 steps/s | Overridden: NO
120 steps/s (24.0 µm/s) | Expected: 0.978 s | Actual: 0.977 s | Effective: 120.17 steps/s | Overridden: NO
121 steps/s (24.2 µm/s) | Expected: 0.971 s | Actual: 0.961 s | Effective: 122.54 steps/s | Overridden: NO
122 steps/s (24.4 µm/s) | Expected: 0.964 s | Actual: 0.960 s | Effective: 122.58 steps/s | Overridden: NO
123 steps/s (24.6 µm/s) | Expected: 0.958 s | Actual: 0.545 s | Effective: 249.98 steps/s | Overridden: YES
124 steps/s (24.8 µm/s) | Expected: 0.951 s | Actual: 0.528 s | Effective: 260.58 steps/s | Overridden: YES
125 steps/s (25.0 µm/s) | Expected: 0.945 s | Actual: 0.529 s | Effective: 260.37 steps/s | Overridden: YES
126 steps/s (25.2 µm/s) | Expected: 0.938 s | Actual: 0.529 s | Effective: 260.39 steps/s | Overridden: YES
127 steps/s (25.4 µm/s) | Expected: 0.932 s | Actual: 0.513 s | Effective: 271.77 steps/s | Overridden: YES
128 steps/s (25.6 µm/s) | Expected: 0.926 s | Actual: 0.513 s | Effective: 271.76 steps/s | Overridden: YES
129 steps/s (25.8 µm/s) | Expected: 0.920 s | Actual: 0.496 s | Effective: 284.33 steps/s | Overridden: YES
130 steps/s (26.0 µm/s) | Expected: 0.914 s | Actual: 0.497 s | Effective: 284.06 steps/s | Overridden: YES
131 steps/s (26.2 µm/s) | Expected: 0.908 s | Actual: 0.497 s | Effective: 284.06 steps/s | Overridden: YES
132 steps/s (26.4 µm/s) | Expected: 0.902 s | Actual: 0.481 s | Effective: 297.63 steps/s | Overridden: YES
133 steps/s (26.6 µm/s) | Expected: 0.896 s | Actual: 0.480 s | Effective: 297.87 steps/s | Overridden: YES
134 steps/s (26.8 µm/s) | Expected: 0.891 s | Actual: 0.481 s | Effective: 297.61 steps/s | Overridden: YES
135 steps/s (27.0 µm/s) | Expected: 0.885 s | Actual: 0.464 s | Effective: 312.58 steps/s | Overridden: YES
136 steps/s (27.2 µm/s) | Expected: 0.880 s | Actual: 0.464 s | Effective: 312.75 steps/s | Overridden: YES
137 steps/s (27.4 µm/s) | Expected: 0.874 s | Actual: 0.465 s | Effective: 312.45 steps/s | Overridden: YES
138 steps/s (27.6 µm/s) | Expected: 0.869 s | Actual: 0.449 s | Effective: 328.89 steps/s | Overridden: YES
139 steps/s (27.8 µm/s) | Expected: 0.864 s | Actual: 0.449 s | Effective: 328.97 steps/s | Overridden: YES
140 steps/s (28.0 µm/s) | Expected: 0.859 s | Actual: 0.449 s | Effective: 328.66 steps/s | Overridden: YES
141 steps/s (28.2 µm/s) | Expected: 0.854 s | Actual: 0.433 s | Effective: 347.22 steps/s | Overridden: YES
142 steps/s (28.4 µm/s) | Expected: 0.849 s | Actual: 0.432 s | Effective: 347.39 steps/s | Overridden: YES
143 steps/s (28.6 µm/s) | Expected: 0.844 s | Actual: 0.433 s | Effective: 347.15 steps/s | Overridden: YES
144 steps/s (28.8 µm/s) | Expected: 0.839 s | Actual: 0.416 s | Effective: 368.08 steps/s | Overridden: YES
145 steps/s (29.0 µm/s) | Expected: 0.834 s | Actual: 0.416 s | Effective: 368.34 steps/s | Overridden: YES
146 steps/s (29.2 µm/s) | Expected: 0.829 s | Actual: 0.417 s | Effective: 367.43 steps/s | Overridden: YES
147 steps/s (29.4 µm/s) | Expected: 0.825 s | Actual: 0.416 s | Effective: 368.00 steps/s | Overridden: YES
148 steps/s (29.6 µm/s) | Expected: 0.820 s | Actual: 0.401 s | Effective: 390.70 steps/s | Overridden: YES
149 steps/s (29.8 µm/s) | Expected: 0.816 s | Actual: 0.400 s | Effective: 391.28 steps/s | Overridden: YES
150 steps/s (30.0 µm/s) | Expected: 0.811 s | Actual: 0.400 s | Effective: 390.98 steps/s | Overridden: YES
151 steps/s (30.2 µm/s) | Expected: 0.807 s | Actual: 0.384 s | Effective: 417.36 steps/s | Overridden: YES
152 steps/s (30.4 µm/s) | Expected: 0.802 s | Actual: 0.385 s | Effective: 416.64 steps/s | Overridden: YES
153 steps/s (30.6 µm/s) | Expected: 0.798 s | Actual: 0.384 s | Effective: 417.27 steps/s | Overridden: YES
154 steps/s (30.8 µm/s) | Expected: 0.794 s | Actual: 0.384 s | Effective: 417.03 steps/s | Overridden: YES
155 steps/s (31.0 µm/s) | Expected: 0.790 s | Actual: 0.369 s | Effective: 445.78 steps/s | Overridden: YES
156 steps/s (31.2 µm/s) | Expected: 0.786 s | Actual: 0.368 s | Effective: 446.89 steps/s | Overridden: YES
157 steps/s (31.4 µm/s) | Expected: 0.782 s | Actual: 0.368 s | Effective: 447.32 steps/s | Overridden: YES
158 steps/s (31.6 µm/s) | Expected: 0.777 s | Actual: 0.369 s | Effective: 446.16 steps/s | Overridden: YES
159 steps/s (31.8 µm/s) | Expected: 0.773 s | Actual: 0.352 s | Effective: 481.78 steps/s | Overridden: YES
160 steps/s (32.0 µm/s) | Expected: 0.770 s | Actual: 0.353 s | Effective: 480.74 steps/s | Overridden: YES
161 steps/s (32.2 µm/s) | Expected: 0.766 s | Actual: 0.352 s | Effective: 481.47 steps/s | Overridden: YES
162 steps/s (32.4 µm/s) | Expected: 0.762 s | Actual: 0.353 s | Effective: 480.78 steps/s | Overridden: YES
163 steps/s (32.6 µm/s) | Expected: 0.758 s | Actual: 0.337 s | Effective: 520.70 steps/s | Overridden: YES
164 steps/s (32.8 µm/s) | Expected: 0.754 s | Actual: 0.337 s | Effective: 520.90 steps/s | Overridden: YES
165 steps/s (33.0 µm/s) | Expected: 0.751 s | Actual: 0.337 s | Effective: 520.59 steps/s | Overridden: YES
166 steps/s (33.2 µm/s) | Expected: 0.747 s | Actual: 0.337 s | Effective: 520.80 steps/s | Overridden: YES
